year,sheet,kind,agegroup,stat,value,workbook
2014,All,value,18-21,N,1265.0,Age Group Table 6.6a   Hourly pay - Excluding overtime 2014.xls
2014,All,value,22-29,10,6.5,Age Group Table 6.6a   Hourly pay - Excluding overtime 2014.xls
2014,All,value,22-29,20,7.16,Age Group Table 6.6a   Hourly pay - Excluding overtime 2014.xls
2014,All,value,22-29,25,7.5,Age Group Table 6.6a   Hourly pay - Excluding overtime 2014.xls
2014,All,value,22-29,30,7.93,Age Group Table 6.6a   Hourly pay - Excluding overtime 2014.xls
2014,All,value,22-29,40,8.79,Age Group Table 6.6a   Hourly pay - Excluding overtime 2014.xls
2014,All,value,22-29,60,11.15,Age Group Table 6.6a   Hourly pay - Excluding overtime 2014.xls
2014,All,value,22-29,70,12.82,Age Group Table 6.6a   Hourly pay - Excluding overtime 2014.xls
2014,All,value,22-29,75,13.75,Age Group Table 6.6a   Hourly pay - Excluding overtime 2014.xls
2014,All,value,22-29,80,14.82,Age Group Table 6.6a   Hourly pay - Excluding overtime 2014.xls
2014,All,value,22-29,90,17.96,Age Group Table 6.6a   Hourly pay - Excluding overtime 2014.xls
2014,All,value,22-29,Mean,11.66,Age Group Table 6.6a   Hourly pay - Excluding overtime 2014.xls
2014,All,value,22-29,Median,9.85,Age Group Table 6.6a   Hourly pay - Excluding overtime 2014.xls
2014,All,value,22-29,N,4329.0,Age Group Table 6.6a   Hourly pay - Excluding overtime 2014.xls
2014,All,value,30-39,10,7.08,Age Group Table 6.6a   Hourly pay - Excluding overtime 2014.xls
2014,All,value,30-39,20,8.37,Age Group Table 6.6a   Hourly pay - Excluding overtime 2014.xls
2014,All,value,30-39,25,9.06,Age Group Table 6.6a   Hourly pay - Excluding overtime 2014.xls
2014,All,value,30-39,30,9.81,Age Group Table 6.6a   Hourly pay - Excluding overtime 2014.xls
2014,All,value,30-39,40,11.39,Age Group Table 6.6a   Hourly pay - Excluding overtime 2014.xls
2014,All,value,30-39,60,15.33,Age Group Table 6.6a   Hourly pay - Excluding overtime 2014.xls
2014,All,value,30-39,70,17.81,Age Group Table 6.6a   Hourly pay - Excluding overtime 2014.xls
2014,All,value,30-39,75,19.22,Age Group Table 6.6a   Hourly pay - Excluding overtime 2014.xls
2014,All,value,30-39,80,20.9,Age Group Table 6.6a   Hourly pay - Excluding overtime 2014.xls
2014,All,value,30-39,90,26.46,Age Group Table 6.6a   Hourly pay - Excluding overtime 2014.xls
2014,All,value,30-39,Mean,16.0,Age Group Table 6.6a   Hourly pay - Excluding overtime 2014.xls
2014,All,value,30-39,Median,13.25,Age Group Table 6.6a   Hourly pay - Excluding overtime 2014.xls
2014,All,value,30-39,N,5726.0,Age Group Table 6.6a   Hourly pay - Excluding overtime 2014.xls
2014,All,value,40-49,10,7.1,Age Group Table 6.6a   Hourly pay - Excluding overtime 2014.xls
2014,All,value,40-49,20,8.35,Age Group Table 6.6a   Hourly pay - Excluding overtime 2014.xls
2014,All,value,40-49,25,9.0,Age Group Table 6.6a   Hourly pay - Excluding overtime 2014.xls
2014,All,value,40-49,30,9.73,Age Group Table 6.6a   Hourly pay - Excluding overtime 2014.xls
2014,All,value,40-49,40,11.26,Age Group Table 6.6a   Hourly pay - Excluding overtime 2014.xls
2014,All,value,40-49,60,15.6,Age Group Table 6.6a   Hourly pay - Excluding overtime 2014.xls
2014,All,value,40-49,70,18.46,Age Group Table 6.6a   Hourly pay - Excluding overtime 2014.xls
2014,All,value,40-49,75,20.16,Age Group Table 6.6a   Hourly pay - Excluding overtime 2014.xls
2014,All,value,40-49,80,22.08,Age Group Table 6.6a   Hourly pay - Excluding overtime 2014.xls
2014,All,value,40-49,90,29.0,Age Group Table 6.6a   Hourly pay - Excluding overtime 2014.xls
2014,All,value,40-49,Mean,17.2,Age Group Table 6.6a   Hourly pay - Excluding overtime 2014.xls
2014,All,value,40-49,Median,13.22,Age Group Table 6.6a   Hourly pay - Excluding overtime 2014.xls
2014,All,value,40-49,N,6453.0,Age Group Table 6.6a   Hourly pay - Excluding overtime 2014.xls
2014,All,value,50-59,10,7.04,Age Group Table 6.6a   Hourly pay - Excluding overtime 2014.xls
2014,All,value,50-59,20,8.18,Age Group Table 6.6a   Hourly pay - Excluding overtime 2014.xls
2014,All,value,50-59,25,8.8,Age Group Table 6.6a   Hourly pay - Excluding overtime 2014.xls
2014,All,value,50-59,30,9.35,Age Group Table 6.6a   Hourly pay - Excluding overtime 2014.xls
2014,All,value,50-59,40,10.73,Age Group Table 6.6a   Hourly pay - Excluding overtime 2014.xls
2014,All,value,50-59,60,14.61,Age Group Table 6.6a   Hourly pay - Excluding overtime 2014.xls
2014,All,value,50-59,70,17.61,Age Group Table 6.6a   Hourly pay - Excluding overtime 2014.xls
2014,All,value,50-59,75,19.17,Age Group Table 6.6a   Hourly pay - Excluding overtime 2014.xls
2014,All,value,50-59,80,21.19,Age Group Table 6.6a   Hourly pay - Excluding overtime 2014.xls
2014,All,value,50-59,90,27.83,Age Group Table 6.6a   Hourly pay - Excluding overtime 2014.xls
2014,All,value,50-59,Mean,16.46,Age Group Table 6.6a   Hourly pay - Excluding overtime 2014.xls
2014,All,value,50-59,Median,12.44,Age Group Table 6.6a   Hourly pay - Excluding overtime 2014.xls
2014,All,value,50-59,N,5176.0,Age Group Table 6.6a   Hourly pay - Excluding overtime 2014.xls
2014,All,value,60+,10,6.72,Age Group Table 6.6a   Hourly pay - Excluding overtime 2014.xls
2014,All,value,60+,20,7.52,Age Group Table 6.6a   Hourly pay - Excluding overtime 2014.xls
2014,All,value,60+,25,8.0,Age Group Table 6.6a   Hourly pay - Excluding overtime 2014.xls
2014,All,value,60+,30,8.47,Age Group Table 6.6a   Hourly pay - Excluding overtime 2014.xls
2014,All,value,60+,40,9.52,Age Group Table 6.6a   Hourly pay - Excluding overtime 2014.xls
2014,All,value,60+,60,12.34,Age Group Table 6.6a   Hourly pay - Excluding overtime 2014.xls
2014,All,value,60+,70,14.67,Age Group Table 6.6a   Hourly pay - Excluding overtime 2014.xls
2014,All,value,60+,75,16.42,Age Group Table 6.6a   Hourly pay - Excluding overtime 2014.xls
2014,All,value,60+,80,18.28,Age Group Table 6.6a   Hourly pay - Excluding overtime 2014.xls
2014,All,value,60+,90,25.0,Age Group Table 6.6a   Hourly pay - Excluding overtime 2014.xls
2014,All,value,60+,Mean,14.53,Age Group Table 6.6a   Hourly pay - Excluding overtime 2014.xls
2014,All,value,60+,Median,10.71,Age Group Table 6.6a   Hourly pay - Excluding overtime 2014.xls
2014,All,value,60+,N,1866.0,Age Group Table 6.6a   Hourly pay - Excluding overtime 2014.xls
2014,All,value,All employees,10,6.64,Age Group Table 6.6a   Hourly pay - Excluding overtime 2014.xls
2014,All,value,All employees,20,7.59,Age Group Table 6.6a   Hourly pay - Excluding overtime 2014.xls
2014,All,value,All employees,25,8.1,Age Group Table 6.6a   Hourly pay - Excluding overtime 2014.xls
2014,All,value,All employees,30,8.69,Age Group Table 6.6a   Hourly pay - Excluding overtime 2014.xls
2014,All,value,All employees,40,10.0,Age Group Table 6.6a   Hourly pay - Excluding overtime 2014.xls
2014,All,value,All employees,60,13.57,Age Group Table 6.6a   Hourly pay - Excluding overtime 2014.xls
2014,All,value,All employees,70,16.11,Age Group Table 6.6a   Hourly pay - Excluding overtime 2014.xls
2014,All,value,All employees,75,17.66,Age Group Table 6.6a   Hourly pay - Excluding overtime 2014.xls
2014,All,value,All employees,80,19.53,Age Group Table 6.6a   Hourly pay - Excluding overtime 2014.xls
2014,All,value,All employees,90,25.42,Age Group Table 6.6a   Hourly pay - Excluding overtime 2014.xls
2014,All,value,All employees,Mean,15.17,Age Group Table 6.6a   Hourly pay - Excluding overtime 2014.xls
2014,All,value,All employees,Median,11.55,Age Group Table 6.6a   Hourly pay - Excluding overtime 2014.xls
2014,All,value,All employees,N,25036.0,Age Group Table 6.6a   Hourly pay - Excluding overtime 2014.xls
